model,task,pool_size,workload_id,method,batch_size,status,wall_time_s,end_to_end_time_s,speedup_vs_ase_b1_measured,speedup_vs_ase_b1_derived,speedup_reference,speedup_vs_ase_b1_end_to_end,throughput_per_s,atoms_per_s,peak_allocated_GB,peak_reserved_GB,gpu_memory_GB,memory_gate_fraction,model_time_s,neighbor_search_time_s,graph_update_time_s,mean_directed_edges_per_system,mean_candidate_edges_per_system,neighbor_rebuild_events,rebuilt_systems,max_energy_error_eV_per_atom,max_force_error_eV_per_A,endpoint_position_rmsd_A_max,endpoint_velocity_rmsd_A_per_fs_max,max_abs_energy_drift_eV_per_atom,mean_abs_energy_drift_eV_per_atom,validation_pass,concurrent_workers,torch_cpu_threads,source_status
AtomBit,nve,32,MD-NVE-H46-R32-v1,ase_b1,1,passed,466.0966225489974,513.7218800196424,,,,,68.65529259791208,3.1581434595039557,0.154530816,0.559939584,85.01788672,0.00658613858333269,466.094625,0.0,0.0,,,0,0,,,,,0.004934549119651444,0.0013449702406515627,,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,native_batch,8,passed,83.21555826440454,91.8757652239874,5.601075475189959,,measured_same_workload,5.591484095585168,384.5434756121561,17.68899987815918,0.664157696,1.409286144,85.01788672,0.016576348794005873,53.25867253494263,3.2569543654918656,23.581087390899654,1620.0986513486514,1987.8178696303696,1565,1935,3.006147300479627e-06,0.0016287565231323242,1.655127564875458e-05,3.31330492217633e-06,0.004931781602942426,0.001344663779372214,True,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,native_batch,16,passed,56.71845828322694,62.757199686486274,8.21772376501344,,measured_same_workload,8.185863655262233,564.1902295758134,25.952750560487416,1.232537088,2.172649472,85.01788672,0.02555520439075905,31.816803224086776,3.2430321931838964,21.89041200828553,1620.0985264735264,1987.8182442557443,1251,1935,2.280525531817978e-06,0.0021721720695495605,1.4052031058076196e-05,3.679331390820714e-06,0.004932499450186025,0.0013447227361391791,True,6,1,passed
AtomBit,nve,32,MD-NVE-H46-R32-v1,native_batch,32,passed,43.82158447429538,48.63341949414462,10.636233904832851,,measured_same_workload,10.563145371291313,730.2337508761324,33.59075254030209,2.364842496,4.23624704,85.01788672,0.049827715124839085,22.362205317020425,3.170787616372107,20.05448293876647,1620.0993381618382,1987.8202422577422,868,1935,3.0268793520720108e-06,0.0020216703414916992,1.1342131604343296e-05,3.5134361299830937e-06,0.004935928013013757,0.0013449817248005762,True,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,ase_b1,1,passed,529.3376265619881,593.156803634949,,,,,60.45291019238103,,0.537895936,0.887095296,85.01788672,0.010434219553369768,529.33875,0.0,0.0,,,0,0,,,,,0.004319747426343976,0.0012026238395890104,,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,native_batch,8,passed,113.30938131501898,129.32883917493746,4.671613421754914,,measured_same_workload,4.586423317637698,282.4126266388717,,1.944148992,5.203034112,85.01788672,0.06119928773501276,76.22085331678389,11.969817502141,31.721610077857957,5002.754495504496,5988.72234015984,1788,2282,2.9854152538301486e-06,0.020000100135803223,4.3024289929963955e-05,9.55470258834601e-06,0.004320493642845359,0.0012028998546865259,True,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,native_batch,16,passed,96.4683010103181,110.89082568418235,5.4871664683445704,,measured_same_workload,5.349016025223428,331.7151817214789,,3.7316864,4.15236096,85.01788672,0.04884102769662445,63.965017498016344,11.954639745235442,29.76567857170106,5002.753996003996,5988.701735764236,1388,2282,3.524448569281879e-06,0.01775979995727539,4.12643153532762e-05,1.005567765352856e-05,0.004318658856376438,0.0012019299834530237,True,6,1,passed
AtomBit,nve,32,MD-NVE-MIX-R32-v1,native_batch,32,passed,89.18332398682833,102.90564786083996,5.93538795033214,,measured_same_workload,5.764084051412603,358.8114747183694,,7.196781568,7.93772032,85.01788672,0.09336529789480986,59.498334606170644,11.911110028862952,28.235835823059084,5002.753746253747,5988.707167832168,896,2283,3.0476113950143096e-06,0.005153298377990723,1.922240092178547e-05,5.104512100805632e-06,0.00431915642558335,0.0012025316988208742,True,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H276-R32-v1,ase_b1,1,passed,695.9061575266533,776.5007739374414,,,,,45.98321146306914,12.691366363807083,0.508911104,0.738197504,85.01788672,0.00868284936828879,695.905625,0.0,0.0,,,0,0,,,,,4.907372035170514e-05,1.8529103980641143e-05,,6,1,passed
MACE-OFF-Small,nve,32,MD-NVE-H276-R32-v1,native_batch,8,passed,133.49770051706582,156.07620780076832,5.212869995747165,,measured_same_workload,4.975138651040565,239.7045033439302,66.15844292292473,3.461856768,4.024434688,85.01788672,0.04733632936859713,100.73287625312804,9.163663359999655,29.719039646148673,4897.250312187813,,1960,2616,6.508713156200837e-09,6.031433313458123e-06,2.0904652179543333e-08,9.425349041838568e-09,4.9073736063555636e-05,1.852907438911063e-05,True,6,1,passed
